ROI,Effect,MeanEffect,StdEffect,StderrEffect
LH_postParietal,H,4.400210,1.716336,0.458710
LH_postParietal,E,3.289720,1.210807,0.323602
LH_midParietal,H,3.509130,2.364505,0.631940
LH_midParietal,E,2.318313,1.700506,0.454479
LH_antParietal,H,4.052109,1.931001,0.516082
LH_antParietal,E,2.912646,1.420898,0.379751
LH_supFrontal,H,3.644279,1.488397,0.397791
LH_supFrontal,E,2.596195,1.081630,0.289078
LH_Precentral_A_precG,H,4.194204,2.208691,0.590298
LH_Precentral_A_precG,E,2.790965,1.651282,0.441324
LH_Precentral_B_IFGop,H,3.321568,1.877537,0.501793
LH_Precentral_B_IFGop,E,2.124970,1.325636,0.354291
LH_midFrontal,H,3.029824,1.080428,0.288757
LH_midFrontal,E,1.670570,0.727447,0.194418
LH_midFrontalOrb,H,2.660514,1.613156,0.431134
LH_midFrontalOrb,E,1.466610,1.142622,0.305379
LH_insula,H,2.236767,1.375872,0.367717
LH_insula,E,1.290261,0.456497,0.122004
LH_medialFrontal,H,2.419129,1.056367,0.282326
LH_medialFrontal,E,1.359838,0.757706,0.202505
RH_postParietal,H,5.563281,2.402054,0.641976
RH_postParietal,E,4.136928,1.663276,0.444529
RH_midParietal,H,4.597559,3.081090,0.823456
RH_midParietal,E,3.038985,2.243569,0.599619
RH_antParietal,H,4.032682,1.829539,0.488965
RH_antParietal,E,2.858204,1.358947,0.363194
RH_supFrontal,H,4.639253,2.080303,0.555984
RH_supFrontal,E,3.137106,1.526681,0.408023
RH_Precentral_A_precG,H,4.940832,2.647751,0.707641
RH_Precentral_A_precG,E,3.497948,1.862784,0.497850
RH_Precentral_B_IFGop,H,4.597643,1.896406,0.506836
RH_Precentral_B_IFGop,E,3.044986,1.117377,0.298632
RH_midFrontal,H,3.739707,1.331768,0.355930
RH_midFrontal,E,2.086676,0.923402,0.246790
RH_midFrontalOrb,H,3.173003,1.834937,0.490408
RH_midFrontalOrb,E,1.758891,1.365313,0.364895
RH_insula,H,2.203963,1.005822,0.268817
RH_insula,E,1.181863,0.672119,0.179631
RH_medialFrontal,H,2.743018,0.898317,0.240085
RH_medialFrontal,E,1.468928,0.758687,0.202768
