Condition,Item,ItemNum,List,Order,RT,Response,Likely_intended_production,Likely_Intended_Production_Split,Words_in_Intended_Production,Form_of_Intended_Production,Subject_is_Well_Formed,Verb_is_Well_Formed,Post-Verb_is_Well_Formed,Target,target_subj_noun,target_verb,target_obj_noun,target_other,Run,SubjID,TrialNumber,TrialOnset
SPROD,6721214117.jpg,41,1,10,0,A MAN IS BOWLING,a man is bowling,a man /is bowling/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is bowling.,man,bowling,,,3,FED_20200205c_3T2,10,58
SPROD,4705826062.jpg,49,1,10,0,A MAN IS EATING AN ICE CREAM CONE,a man is eating an ice cream cone,a man /is eating/ an ice cream cone,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is eating an ice cream cone.,man,eating,ice cream cone,,3,FED_20200205c_3T2,11,65
SPROD,3672940355.jpg,12,1,10,0,A GIRL IS KICKING A BALL,a girl is kicking a ball,a girl /is kicking/ a ball,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A young girl is kicking a ball.,girl,kicking,ball,outside/yard/grass,3,FED_20200205c_3T2,12,72
SPROD,126594141.jpg,26,1,10,0,A N THLETE IS TYPING HER SHOES,an athlete is tying her shoes,an athlete/ is tying/ her shoes,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is tying her shoe (on a soccer field).,woman,tying,shoe,field,3,FED_20200205c_3T2,13,79
SPROD,5241718422.jpg,19,1,10,0,A MAN IS RUNNIGN ON A TREADMILL,a man is running on a treadmill,a man/ is running/ on a treadmill,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is running on a treadmill.,man,running,,treadmill,3,FED_20200205c_3T2,39,216
SPROD,4621100791.jpg,5,1,10,0,A MAN IS NAPPING ON A BENCH OUTSIDE,a man is napping on a bench outside,a man /is napping/ on a bench outside,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is sleeping on a chair/bench (outside).,man,sleeping,bench,outside,3,FED_20200205c_3T2,40,223
SPROD,6845394024.jpg,7,1,10,0,A BOY IS BRUSHING HIS TEETH,a boy is brushing his teeth,a boy /is brushing/ his teeth,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (young) boy is brushing his teeth.,boy,brushing,teeth,,3,FED_20200205c_3T2,41,230
SPROD,4696829163.jpg,54,1,10,0,A BOY CAUGHT A FISH,a boy caught a fish,a boy /caught/ a fish,2+,Subject and Non-Gerund Verb Well Formed,1,1,1,A boy is holding up a fish (he caught).,boy,holding,fish,caught,3,FED_20200205c_3T2,42,237
SPROD,4618092593.jpg,37,1,8,0,MEN ARE SHAVING,men are shaving,men /are shaving/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,Two men are shaving their heads.,men,shaving,heads,razor,5,FED_20200205c_3T2,2,14
SPROD,807129.jpg,47,1,8,0,A MAN IS PLAYING A FLUTE,a man is playing a flute,a man /is playing/ a flute,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is playing the flute.,man,playing/sitting,flute,outside,5,FED_20200205c_3T2,3,21
SPROD,4688958106.jpg,8,1,8,0,SURGEONS ARE UNDERGOEING SURGERY,surgeons are undergoing surgery,surgeons /are undergoing/ surgery,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Two doctors/surgeons are operating/performing surgery.,doctors/surgeons,operating/performing,surgery,,5,FED_20200205c_3T2,4,28
SPROD,6939434967.jpg,55,1,8,0,GIRLS ARE PLAYING JUMPROPE,girls are playing jump rope,girls /are playing/ jump rope,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Three girls are playing jump rope.,girls,playing,jump rope,,5,FED_20200205c_3T2,5,35
SPROD,6225280494.jpg,9,1,8,0,A MAN IS JUMPING OVER A HURDLE,a man is jumping over a hurdle,a man /is jumping/ over a hurdle,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is jumping over a hurdle.,man,jumping,,hurdle,5,FED_20200205c_3T2,47,260
SPROD,6237339784.jpg,30,1,8,0,A BOY IS ON A TREE,a boy is on a tree,a boy /is/ on a tree,2+,Subject and Non-Gerund Verb Well Formed,1,1,1,A boy/kid/child is sitting in a tree.,boy,sitting,,tree/branch,5,FED_20200205c_3T2,48,267
SPROD,3819214047.jpg,59,1,8,0,A MAN IS ON A SKATEBOARD,a man is on a skateboard,a man /is/ on a skateboard,2+,Subject and Non-Gerund Verb Well Formed,1,1,1,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,5,FED_20200205c_3T2,49,274
SPROD,4121133646.jpg,45,1,8,0,A BOY IS EXAMINING A ROCK,a boy is examining a rock,a boy /is examining/ a rock,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A boy is using a magnifying glass to look at a rock.,boy,using,magnifying glass,rock,5,FED_20200205c_3T2,50,281
SPROD,3660826540.jpg,99,2,9,0,098ht8ng,??,??,Unknown,Incomplete,Incomplete,Incomplete,Incomplete,A little boy is pointing at something.,boy,pointing,,something,3,FED_20191120d_3T2,6,28
SPROD,4390269250.jpg,104,2,9,0,eating,eating,eating,1,Gerund,NA,NA,NA,A (little) girl is eating a strawberry.,girl,eating,strawberry,,3,FED_20191120d_3T2,7,35
SPROD,2047030603.jpg,82,2,9,0,shopping for food,shopping for food,/shopping/ for food,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is pushing a cart full of grocery bags.,man,pushing,cart,bags,3,FED_20191120d_3T2,8,42
SPROD,4555514125.jpg,86,2,9,0,pushing a couch,pushing a couch,/pushing/ a couch,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is pushing a couch down a street/sidewalk.,man,pushing,couch,sidewalk/street,3,FED_20191120d_3T2,9,49
SPROD,41105465.jpg,80,2,9,0,meditation,meditation,meditation,1,Noun,NA,NA,NA,A man is meditating in a park.,man,meditating,,park,3,FED_20191120d_3T2,43,246
SPROD,3652094744.jpg,65,2,9,0,watering tree,watering tree,/watering/ tree,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A (little) boy is watering a plant.,boy,watering,plant,,3,FED_20191120d_3T2,44,253
SPROD,8189395281.jpg,111,2,9,0,rollerblading,rollerblading,rollerblading,1,Gerund,NA,0,NA,A woman is roller skating.,woman,roller skating,,indoors,3,FED_20191120d_3T2,45,260
SPROD,5505219003.jpg,128,2,9,0,writing on board,writing on board,/writing/ on board,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is writing on a chalkboard.,man,writing,equations,chalkboard,3,FED_20191120d_3T2,46,267
SPROD,6915574150.jpg,6,1,1,0,GJRK BILFINGH YIIYHBTUDH,girl holding toothbrush,girl /holding/ toothbrush,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,6,FED_20200205b_3T2,2,14
SPROD,5220880759.jpg,16,1,1,0,"M,SN IN YTHR DHOERT",man in the shower,man //in the shower,2+,Noun Phrase,0,NA,1,A man is taking a shower.,man,taking,shower,,6,FED_20200205b_3T2,3,21
SPROD,35268263.jpg,60,1,1,0,WOMAN AT TABLE SEWING,woman at table sewing,woman/ at table /sewing,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A woman is sewing (on her sewing machine).,woman,sewing/using,sewing machine,,6,FED_20200205b_3T2,4,28
SPROD,6303184938.jpg,58,1,1,0,MAN LOKING IN MICEISCIOE\,man looking in microscope,man /looking/ in microscope,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A man is looking through a microscope.,man,looking,microscope,,6,FED_20200205b_3T2,5,35
SPROD,3819214047.jpg,59,1,1,0,MSN DIYYINHJ ON FKDYRTBODYG,man sitting on skateboard,man /sitting/ on skateboard,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A boy/man is sitting on his skateboard.,man,sitting,,skateboard,6,FED_20200205b_3T2,47,260
SPROD,5584269779.jpg,57,1,1,0,EOSN TIFINNH HNOTDR,woman riding horse,woman /riding/ horse,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A woman is riding a horse.,woman,riding,horse,,6,FED_20200205b_3T2,48,267
SPROD,3665441862.jpg,43,1,1,0,"TOR; V;O,NOMH GRMBVR",girl climbing fence,girl /climbing/ fence,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,A young girl is climbing a fence.,girl,climbing,fence,,6,FED_20200205b_3T2,49,274
SPROD,33256003.jpg,36,1,1,0,"WP,SM [IYYOMH PM ;O[FYOBVL",woman putting on lipstick,woman /putting on/ lipstick,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,1,A woman is applying lipstick.,woman,applying,lipstick,,6,FED_20200205b_3T2,50,281
SPROD,4618092593.jpg,37,1,4,0,men shavin heads,men shaving heads,men /shaving/ heads,2+,"Subject and Gerund ""Newspaper Syntax""",0,0,0,Two men are shaving their heads.,men,shaving,heads,razor,3,FED_20200130b_3T2,14,72
SPROD,6915574150.jpg,6,1,4,0,girl with tooghbrush,girl with toothbrush,girl//with toothbrush,2+,Noun Phrase,0,NA,0,A toddler is holding a toothbrush.,toddler,holding,toothbrush,,3,FED_20200130b_3T2,15,79
SPROD,3818278154.jpg,39,1,4,0,meditating on beach,meditating on beach,/meditating/ on beach,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A group of people are doing yoga on a beach.,group,doing,yoga,beach,3,FED_20200130b_3T2,16,86
SPROD,7819772858.jpg,52,1,4,0,surfing,surfing,surfing,1,Gerund,NA,NA,NA,A man is surfing.,man,surfing,,wave/surfboard,3,FED_20200130b_3T2,17,93
SPROD,4772785237.jpg,25,1,4,0,sweeping sidewalk,sweeping sidewalk,/sweeping/ sidewalk,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is sweeping the sidewalk.,man,sweeping,sidewalk,,3,FED_20200130b_3T2,35,202
SPROD,5220880759.jpg,16,1,4,0,taking a shower,taking a shower,/taking/ a shower,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is taking a shower.,man,taking,shower,,3,FED_20200130b_3T2,36,209
SPROD,3677329561.jpg,27,1,4,0,washing a doggo,washing a doggo,/washing/ a doggo,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,Two girls are washing a dog.,girls,washing,dog,outside,3,FED_20200130b_3T2,37,216
SPROD,5241718422.jpg,19,1,4,0,runnign on a treadmill,running on a treadmill,/running/ on a treadmill,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A man is running on a treadmill.,man,running,,treadmill,3,FED_20200130b_3T2,38,223
SPROD,5669914204.jpg,13,1,2,0,GIRL WITH NOUY,girl with boy,girl //with boy,2+,Noun Phrase,0,NA,0,A (young) boy is looking through a telescope.,boy,looking,,telescope,2,FED_20191204c_3T2,22,116
SPROD,5840187633.jpg,35,1,2,0,SLOWWINGRUNNER,slow runner,slow runner,2+,,NA,NA,NA,A little girl is walking on a treadmill.,girl,walking,,treadmill,2,FED_20191204c_3T2,23,123
SPROD,7995263133.jpg,64,1,2,0,"FIUM,PIOGN",??,??,?,?,?,?,?,A young boy is sleeping (on a striped pillow).,boy,sleeping,,pillow,2,FED_20191204c_3T2,24,130
SPROD,6225280494.jpg,9,1,2,0,0,0,0,?,?,?,?,?,A man is jumping over a hurdle.,man,jumping,,hurdle,2,FED_20191204c_3T2,25,137
SPROD,6354735653.jpg,62,1,2,0,NOLIMBNIGN,climbing,climbing,1,Gerund,NA,NA,NA,A man is rock climbing.,man,rock climbing,,cliff/rock,2,FED_20191204c_3T2,27,158
SPROD,4789495327.jpg,31,1,2,0,"WOM,AN NO PHOIONG",woman on phone,woman/ on phone,2+,Noun Phrase,0,NA,0,A woman is talking on a cell phone.,woman,talking,,cell phone,2,FED_20191204c_3T2,28,165
SPROD,3672940355.jpg,12,1,2,0,KICKING NALL,kicking ball,/kicking/ ball,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A young girl is kicking a ball.,girl,kicking,ball,outside/yard/grass,2,FED_20191204c_3T2,29,172
SPROD,4607606901.jpg,3,1,2,0,GIRLWITH DEER,girl with deer,girl //with deer,2+,Noun Phrase,0,NA,0,A (young) girl is petting a deer.,girl,petting,deer,,2,FED_20191204c_3T2,30,179
SPROD,29850055.jpg,50,1,11,0,a little boy is playing in the sand,a little boy is playing in the sand,a little boy /is playing/ in the sand,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A (little/young) boy is playing in the sand.,boy,playing,,sand,5,FED_20200130d_3T2,14,72
SPROD,6237869128.jpg,63,1,11,0,a woman is pouytting on a boot,a woman is putting on a boot,a woman /is putting/ on a boot,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is putting on a boot.,woman,putting on,boot,floor,5,FED_20200130d_3T2,15,79
SPROD,3677329561.jpg,27,1,11,0,two girls are washing the dog,two girls are washing the dog,two girls /are washing/ the dog,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,Two girls are washing a dog.,girls,washing,dog,outside,5,FED_20200130d_3T2,16,86
SPROD,4705826062.jpg,49,1,11,0,a man is eating ice cream,a man is eating ice cream,a man /is eating/ ice cream,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A man is eating an ice cream cone.,man,eating,ice cream cone,,5,FED_20200130d_3T2,17,93
SPROD,4704668708.jpg,15,1,11,0,a boy is opening a present,a boy is opening a present,a boy /is opening/ a present,,Subject and Tensed Gerund Verb Well Formed,1,1,1,A little boy is opening a gift/present.,boy,opening,gift/present,,5,FED_20200130d_3T2,35,202
SPROD,4585839343.jpg,44,1,11,0,a girl is picking flowers,a girl is picking flowers,a girl /is picking/ flowers,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is blowing on a dandelion.,woman,blowing,dandelion/flower,field,5,FED_20200130d_3T2,36,209
SPROD,7819772858.jpg,52,1,11,0,a man is surfing,a man is surfing,a man /is surfing/,2+,Subject and Tensed Gerund Verb Well Formed,1,1,NA,A man is surfing.,man,surfing,,wave/surfboard,5,FED_20200130d_3T2,37,216
SPROD,126594141.jpg,26,1,11,0,a girl is tying her shoe,a girl is tying her shoe,a girl /is tying/ her shoe,2+,Subject and Tensed Gerund Verb Well Formed,1,1,1,A woman is tying her shoe (on a soccer field).,woman,tying,shoe,field,5,FED_20200130d_3T2,38,223
SPROD,3800306463.jpg,77,2,7,0,holding cucumbers,holding cucumbers,/holding/ cucumbers,2+,Subject-less Gerund Verb Phrase With Grammatically Well-Formed Object,NA,0,1,A (little) boy is holding two large cucumbers.,boy,holding,cucumbers,,5,FED_20191120d_3T2,22,116
SPROD,7742281954.jpg,85,2,7,0,playing trumpet,playing trumpet,/playing/ trumpet,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,A man is playing the saxophone.,man,playing,saxophone,outside/garden,5,FED_20191120d_3T2,23,123
SPROD,5925544950.jpg,125,2,7,0,fishing,fishing,fishing,1,Gerund,NA,0,NA,A woman is fishing.,woman,fishing,,lake/river/pond,5,FED_20191120d_3T2,24,130
SPROD,3808935147.jpg,106,2,7,0,jumping on trampoline,jumping on trampoline,/jumping/ on trampoline,2+,"Subject-less Gerund Phrase ""Newspaper Headline Syntax"" Object",NA,0,0,Two boys are jumping on a trampoline.,boys,jumping,,trampoline,5,FED_20191120d_3T2,25,137
SPROD,7119846943.jpg,75,2,7,0,hoola hoop contest,hoola hoop contest,hoola hoop contest,2+,Noun Phrase,NA,NA,NA,A girl is hula-hooping.,girl,hula-hooping,,,5,FED_20191120d_3T2,27,158
